Consumption,consumption_comb
"[['3.8 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.5 l/100 km (country)']]",3.8
"[['5.6 l/100 km (comb)'], ['7.1 l/100 km (city)'], ['4.7 l/100 km (country)']]",5.6
"[['3.8 l/100 km (comb)'], ['4.4 l/100 km (city)'], ['3.4 l/100 km (country)']]",3.8
"[['3.8 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.5 l/100 km (country)']]",3.8
"[['4.1 l/100 km (comb)'], ['4.6 l/100 km (city)'], ['3.8 l/100 km (country)']]",4.1
"[['3.5 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.1 l/100 km (country)']]",3.5
"[['3.7 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.4 l/100 km (country)']]",3.7
"[['3.7 l/100 km (comb)'], ['4.2 l/100 km (city)'], ['3.4 l/100 km (country)']]",3.7
"[['3.7 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.4 l/100 km (country)']]",3.7
,
"[['4 l/100 km (comb)'], ['4.6 l/100 km (city)'], ['3.6 l/100 km (country)']]",4
"[['4.9 l/100 km (comb)'], ['6.2 l/100 km (city)'], ['4.2 l/100 km (country)']]",4.9
"[['4.9 l/100 km (comb)'], ['6.2 l/100 km (city)'], ['4.2 l/100 km (country)']]",4.9
,
"[['4.2 l/100 km (comb)'], ['5 l/100 km (city)'], ['3.7 l/100 km (country)']]",4.2
"[['3.7 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.4 l/100 km (country)']]",3.7
"[['3.5 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.1 l/100 km (country)']]",3.5
"[['3.8 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.5 l/100 km (country)']]",3.8
"[['4.5 l/100 km (comb)'], ['5.5 l/100 km (city)'], ['3.9 l/100 km (country)']]",4.5
"[['3.8 l/100 km (comb)'], ['4.6 l/100 km (city)'], ['3.3 l/100 km (country)']]",3.8
"[['4 l/100 km (comb)'], ['4.6 l/100 km (city)'], ['3.6 l/100 km (country)']]",4
"[['4.9 l/100 km (comb)'], ['6.2 l/100 km (city)'], ['4.2 l/100 km (country)']]",4.9
"[['4.9 l/100 km (comb)'], ['6.2 l/100 km (city)'], ['4.2 l/100 km (country)']]",4.9
"[['3.7 l/100 km (comb)'], ['4.3 l/100 km (city)'], ['3.4 l/100 km (country)']]",3.7
"[['4.4 l/100 km (comb)'], ['5.4 l/100 km (city)'], ['3.8 l/100 km (country)']]",4.4
"[['4.2 l/100 km (comb)'], ['5 l/100 km (city)'], ['3.7 l/100 km (country)']]",4.2
"[['4.2 l/100 km (comb)'], ['5 l/100 km (city)'], ['3.7 l/100 km (country)']]",4.2
"[['4.2 l/100 km (comb)'], ['5 l/100 km (city)'], ['3.7 l/100 km (country)']]",4.2
"[['4.3 l/100 km (comb)'], ['3.8 l/100 km (city)'], ['3.5 l/100 km (country)']]",4.3
"[['4.4 l/100 km (comb)'], ['5.2 l/100 km (city)'], ['3.9 l/100 km (country)']]",4.4
"[['3 l/100 km (comb)'], ['3 l/100 km (city)'], ['3 l/100 km (country)']]",3
"[['3.6 l/100 km (comb)'], ['4 l/100 km (city)'], ['3.3 l/100 km (country)']]",3.6
"[['4.4 l/100 km (comb)'], ['5.2 l/100 km (city)'], ['3.9 l/100 km (country)']]",4.4
"[['3.7 l/100 km (comb)'], ['3.9 l/100 km (city)'], ['3.1 l/100 km (country)']]",3.7
"[['3.7 l/100 km (comb)'], ['4.2 l/100 km (city)'], ['3.4 l/100 km (country)']]",3.7
"[['4.4 l/100 km (comb)'], ['5.2 l/100 km (city)'], ['3.9 l/100 km (country)']]",4.4
"[['4.4 l/100 km (comb)'], ['5.2 l/100 km (city)'], ['3.9 l/100 km (country)']]",4.4
"[['3.7 l/100 km (comb)'], ['3.9 l/100 km (city)'], ['3.1 l/100 km (country)']]",3.7
"[['4.2 l/100 km (comb)'], ['5 l/100 km (city)'], ['3.7 l/100 km (country)']]",4.2
,
